Scenario.name,css_2,css_3,css_4,right_bica,right_brita2,tph_2,tph_3,tph_4,tph_bica,tph_brita2,tph_brita1,tph_bmeia,tph_pedrisco,tph_po,percAbaixo32mm_rcz,efic_2dPN4,percAbaixo5mm_pedrisco,capC2_capC3,capBT4_alimPP4,RR_BT2,fcap_BT2,RR_BT3,fcap_BT3,RR_BT4,fcap_BT4,carga_BT2,carga_BT3,carga_BT4,tph_total
Scenario 0001,30,13,10,0,0,478.3940722,432.8320469,81.59149045,80.9,0,76.8,27.6,107.3,158.1,59.42620876,83.51244992,19.66147241,1.105264907,0.565157159,4.518258816,1.088248617,4.389566858,0.862959706,3.551701849,0.90650086,99.99997708,100.0000295,99.99986054,450.7
Scenario 0002,30,13,10,0,100,478.3940744,432.832047,80.86022625,80.9,73.2,76.4,27.2,106.3,159.2,59.42620876,83.61789212,19.86959783,1.105264912,1.137962756,4.518258816,1.088248617,4.389566858,0.862959706,4.852221569,0.898376089,99.99997753,100.0000295,99.99988867,523.2
Scenario 0003,30,13,10,100,0,478.3940744,515.2174678,80.04441301,0,0,94.7,32.4,124.6,170.1,66.25991085,81.93937765,20.75263801,0.928528445,0.461815496,4.518258816,1.088248617,4.249649476,0.864708804,3.474482044,0.889312012,99.99997753,100.0000624,99.99991117,421.8
Scenario 0004,30,13,10,100,100,478.3940744,515.2174678,80.10881821,0,91.6,94.3,32,124,171.5,66.25991085,82.0192753,20.94706778,0.928528445,0.981071275,4.518258816,1.088248617,4.249649476,0.864708804,4.531722506,0.890027568,99.99997753,100.0000624,99.99991124,513.4
Scenario 0005,30,13,11,0,0,478.3940744,432.832047,91.25919076,80.9,0,80.8,29.5,108.8,159.4,59.42620876,83.50850429,19.5861976,1.105264912,0.627788315,4.518258816,1.088248617,4.389566858,0.862959706,3.27036228,0.912527823,99.99997753,100.0000295,99.99902282,459.4
Scenario 0006,30,13,11,0,100,478.3940744,432.832047,90.229823,80.9,74,79.9,29,108,160.9,59.42620876,83.6012483,19.83520812,1.105264912,1.268107977,4.518258816,1.088248617,4.389566858,0.862959706,4.494550865,0.902233248,99.99997753,100.0000295,99.99920239,532.7
Scenario 0007,30,13,11,100,0,478.3940744,515.2174678,89.6829468,0,0,98.6,34.3,126.1,171.4,66.25991085,81.93799239,20.68624178,0.928528445,0.514484551,4.518258816,1.088248617,4.249649476,0.864708804,3.199494833,0.896764464,99.99997753,100.0000624,99.99924879,430.4
Scenario 0008,30,13,11,100,100,478.3940744,515.2174678,89.63628857,0,92.3,97.8,33.8,125.7,173.2,66.25991085,82.00514263,20.9180941,0.928528445,1.096453669,4.518258816,1.088248617,4.249649476,0.864708804,4.196637419,0.896297679,99.99997753,100.0000624,99.99927518,522.8
Scenario 0009,30,13,12,0,0,478.3940744,432.832047,100.6990851,80.9,0,86.4,31.1,108.9,159.7,59.42620876,83.57701202,19.54462286,1.105264912,0.684215387,4.518258816,1.088248617,4.389566858,0.862959706,2.886097218,0.91540545,99.99997753,100.0000295,99.99645499,467
Scenario 0010,30,13,12,0,100,478.3940744,432.832047,99.25081238,80.9,75.3,84.7,30.5,108.3,161.7,59.42620876,83.64461307,19.83964387,1.105264912,1.391514151,4.518258816,1.088248617,4.389566858,0.862959706,4.030450138,0.902233248,99.99997753,100.0000295,99.99719448,541.4
Scenario 0011,30,13,12,100,0,478.3940744,515.2174678,99.56868775,0,0,104.3,35.9,126.4,171.9,66.25991085,81.99160498,20.65432569,0.928528445,0.565315357,4.518258816,1.088248617,4.249649476,0.864708804,2.823110245,0.9051251,99.99997753,100.0000624,99.99694858,438.5
Scenario 0012,30,13,12,100,100,478.3940744,515.2174678,99.2848586,0,93.7,102.7,35.4,126.3,174.2,66.25991085,82.03615173,20.92847737,0.928528445,1.211873135,4.518258816,1.088248617,4.249649476,0.864708804,3.759912311,0.902542916,99.99997753,100.0000624,99.99717529,532.3
Scenario 0013,30,13,13,0,0,478.3940744,432.832047,110.2569196,80.9,0,93.2,32.4,108.2,159.5,59.42620876,83.69246286,19.49227899,1.105264912,0.737194906,4.518258816,1.088248617,4.389566858,0.862959706,2.596748465,0.918823348,99.99997753,100.0000295,99.99029378,474.2
Scenario 0014,30,13,13,0,100,478.3940744,432.832047,108.2686125,80.9,77,90.3,31.7,108.1,162.2,59.42620876,83.72445886,19.83865762,1.105264912,1.513211011,4.518258816,1.088248617,4.389566858,0.862959706,3.6430861,0.902233248,99.99997753,100.0000295,99.9925758,550.2
Scenario 0015,30,13,13,100,0,478.3940744,515.2174678,109.139004,0,0,111,37.2,125.7,171.8,66.25991085,82.09773314,20.60679861,0.928528445,0.611395984,4.518258816,1.088248617,4.249649476,0.864708804,2.54209083,0.909496515,99.99997753,100.0000624,99.9914713,445.7
Scenario 0016,30,13,13,100,100,478.3940744,515.2174678,108.325692,0,95.4,108.4,36.6,126.1,174.7,66.25991085,82.11470651,20.92378827,0.928528445,1.31859481,4.518258816,1.088248617,4.249649476,0.864708804,3.398760122,0.902709548,99.99997753,100.0000624,99.99250484,541.2
Scenario 0017,30,13,14,0,0,478.3940744,432.832047,116.7735027,80.9,0,99.9,33.1,106.1,158.2,59.42620876,83.89048603,19.40955953,1.105264912,0.767377833,4.518258816,1.088248617,4.389566858,0.862959706,2.389287188,0.92198134,99.99997753,100.0000295,99.98275324,478.2
Scenario 0018,30,13,14,0,100,478.3940744,432.832047,114.2773971,80.9,78.8,95.7,32.4,106.7,161.5,59.42620876,83.87699344,19.80119153,1.105264912,1.591809591,4.518258816,1.088248617,4.389566858,0.862959706,3.374747306,0.902233248,99.99997753,100.0000295,99.98720506,556
Scenario 0019,30,13,14,100,0,478.3940744,515.2174678,115.4694977,0,0,117.6,37.9,123.5,170.5,66.25991085,82.27979644,20.52928677,0.928528445,0.637666678,4.518258816,1.088248617,4.249649476,0.864708804,2.339697584,0.911665736,99.99997753,100.0000624,99.98493294,449.5
Scenario 0020,30,13,14,100,100,478.3940744,515.2174678,114.3608499,0,97.2,113.8,37.3,124.6,174,66.25991085,82.25752757,20.88528998,0.928528445,1.387924844,4.518258816,1.088248617,4.249649476,0.864708804,3.148978115,0.902893573,99.99997753,100.0000624,99.98704389,546.9
Scenario 0021,30,13,15,0,0,478.3940744,432.832047,123.114103,80.9,0,105.6,32.8,104.2,157,59.42620876,84.03152678,19.38804192,1.105264912,0.788005219,4.518258816,1.088248617,4.389566858,0.862959706,2.132107571,0.923538846,99.99997753,100.0000295,99.97217913,480.5
Scenario 0022,30,13,15,0,100,478.3940744,432.832047,120.2960169,80.9,81.5,100.1,32.3,105.5,161.1,59.42620876,83.9680713,19.81904177,1.105264912,1.662699321,4.518258816,1.088248617,4.389566858,0.862959706,3.097464998,0.902336278,99.99997753,100.0000295,99.97912939,561.4
Scenario 0023,30,13,15,100,0,478.3940744,515.2174678,121.62191,0,0,123.1,37.5,121.6,169.3,66.25991085,82.40871751,20.50769903,0.928528445,0.656986674,4.518258816,1.088248617,4.249649476,0.864708804,2.090444152,0.912312307,99.99997753,100.0000624,99.97578139,451.5
Scenario 0024,30,13,15,100,100,478.3940744,515.2174678,120.408616,0,99.9,118.3,37.2,123.4,173.6,66.25991085,82.34341886,20.89849953,0.928528445,1.451239539,4.518258816,1.088248617,4.249649476,0.864708804,2.884552468,0.903182543,99.99997753,100.0000624,99.9789453,552.4
Scenario 0025,30,13,16,0,0,478.3940744,432.832047,129.211802,80.9,0,110.5,32,101.9,155.5,59.42620876,84.18559614,19.37004079,1.105264912,0.7976496,4.518258816,1.088248617,4.389566858,0.862959706,1.929817529,0.923249833,99.99997753,100.0000295,99.95860062,480.8
Scenario 0026,30,13,16,0,100,478.3940744,432.832047,126.3611132,80.9,85.2,104,31.8,104.2,160.4,59.42620876,84.0622146,19.83999092,1.105264912,1.723827969,4.518258816,1.088248617,4.389566858,0.862959706,2.785406459,0.902799055,99.99997753,100.0000295,99.96766995,566.5
Scenario 0027,30,13,16,100,0,478.3940744,515.2174678,127.5285144,0,0,127.9,36.7,119.3,167.8,66.25991085,82.54801808,20.48839839,0.928528445,0.668162157,4.518258816,1.088248617,4.249649476,0.864708804,1.893719488,0.91117248,99.99997753,100.0000624,99.96406962,451.7
Scenario 0028,30,13,16,100,100,478.3940744,515.2174678,126.4710145,0,103.8,122.2,36.7,122,172.9,66.25991085,82.43212762,20.91395522,0.928528445,1.506557223,4.518258816,1.088248617,4.249649476,0.864708804,2.592306745,0.903586084,99.99997753,100.0000624,99.96746758,557.6
Scenario 0029,30,13,17,0,0,478.3940744,432.832047,132.0025791,80.9,0,113.8,30.8,98.6,153,59.42620876,84.40264398,19.31912098,1.105264912,0.78393008,4.518258816,1.088248617,4.389566858,0.862959706,1.778124951,0.921319064,99.99997753,100.0000295,99.95175313,477.1
Scenario 0030,30,13,17,0,100,478.3940744,432.832047,129.4324681,80.9,89.3,106.6,31,101.9,158.8,59.42620876,84.21694946,19.81579398,1.105264912,1.737885143,4.518258816,1.088248617,4.389566858,0.862959706,2.539925178,0.903303803,99.99997753,100.0000295,99.96027708,568.5
Scenario 0031,30,13,17,100,0,478.3940744,515.2174678,130.1853762,0,0,131,35.5,116,165.4,66.25991085,82.7410061,20.43766233,0.928528445,0.660037383,4.518258816,1.088248617,4.249649476,0.864708804,1.746212122,0.908575773,99.99997753,100.0000624,99.95835655,447.9
Scenario 0032,30,13,17,100,100,478.3940744,515.2174678,129.5337095,0,108,124.7,35.8,119.6,171.2,66.25991085,82.57371882,20.8873627,0.928528445,1.521252427,4.518258816,1.088248617,4.249649476,0.864708804,2.36262089,0.904011971,99.99997753,100.0000624,99.96009919,559.3
Scenario 0033,30,15,10,0,0,478.3940744,487.4236316,81.4244616,80.9,0,86.7,29.8,114.1,166.5,59.42620876,83.24805113,20.01907275,0.981474929,0.474544464,4.518258816,1.088248617,3.804857013,0.862959706,3.55480348,0.904645061,99.99997753,100.0000614,99.99986813,478
Scenario 0034,30,15,10,0,100,478.3940744,487.4236316,80.87140778,80.9,86.5,86.3,29.4,113.2,167.7,59.42620876,83.34196134,20.21438296,0.981474929,0.951047797,4.518258816,1.088248617,3.804857013,0.862959706,4.836054041,0.898500321,99.99997753,100.0000614,99.99988831,564
Scenario 0035,30,15,10,100,0,478.3940744,580.1984828,79.97679585,0,0,106.8,35.1,133.8,180,66.25991085,81.53494805,21.21484324,0.824535204,0.391442673,4.518258816,1.088248617,3.681505697,0.864708804,3.480958864,0.888560737,99.99997753,99.99982656,99.9999148,455.7
Scenario 0036,30,15,10,100,100,478.3940744,580.1984828,80.14796899,0,107.2,106.4,34.8,133.2,181.4,66.25991085,81.60688165,21.39729339,0.824535204,0.825971773,4.518258816,1.088248617,3.681505697,0.864708804,4.529842272,0.890462551,99.99997753,99.99982656,99.99991027,563
Scenario 0037,30,15,11,0,0,478.3940744,487.4236316,91.02950631,80.9,0,90.6,31.7,115.6,167.8,59.42620876,83.24300734,19.95135896,0.981474929,0.527483777,4.518258816,1.088248617,3.804857013,0.862959706,3.274884204,0.910230752,99.99997753,100.0000614,99.99906545,486.6
Scenario 0038,30,15,11,0,100,478.3940744,487.4236316,90.229823,80.9,87.2,89.8,31.1,114.8,169.3,59.42620876,83.32444862,20.18459185,0.981474929,1.059906836,4.518258816,1.088248617,3.804857013,0.862959706,4.480428699,0.902233248,99.99997753,100.0000614,99.99920239,573.1
